date	AAPL	AMZN	SPY	TSLA	IBM	JNJ
2023-09	169.5492706298828	127.12000274658203	417.86566162109375	250.22000122070312	131.23411560058594	146.24530029296875
2023-10	169.11355590820312	133.08999633789062	408.7943420410156	200.83999633789062	135.29368591308594	139.28750610351562
2023-11	188.35533142089844	146.08999633789062	446.1352233886719	240.0800018310547	149.99624633789062	146.384765625
2023-12	190.9136505126953	151.94000244140625	466.503662109375	248.47999572753906	154.7167510986328	148.3534698486328
2024-01	182.85189819335938	155.1999969482422	473.9334411621094	187.2899932861328	173.7406005859375	150.3978729248047
2024-02	179.4612579345703	176.75999450683594	498.66650390625	201.8800048828125	176.6324005126953	153.9049530029297
2024-03	170.25733947753906	180.3800048828125	514.973876953125	175.7899932861328	182.29327392578125	150.8627166748047
2024-04	169.11557006835938	175.0	494.2103271484375	183.27999877929688	158.656982421875	137.8926544189453
2024-05	191.13815307617188	176.44000244140625	519.2073974609375	178.0800018310547	160.85862731933594	141.00697326660156
2024-06	209.4019317626953	193.25	537.5250244140625	197.8800048828125	166.73959350585938	140.51669311523438
2024-07	220.795654296875	186.97999572753906	544.0339965820312	232.07000732421875	185.24050903320312	151.75534057617188
2024-08	227.93917846679688	178.5	556.7456665039062	214.11000061035156	196.576171875	160.6663360595703
2024-09	231.920654296875	186.3300018310547	568.43994140625	261.6300048828125	215.0054931640625	156.98532104492188
2024-10	224.8634796142578	186.39999389648438	563.3673706054688	249.85000610351562	201.04005432128906	154.85423278808594
2024-11	236.490478515625	207.88999938964844	596.962890625	345.1600036621094	222.904541015625	151.3609161376953
2024-12	249.5341796875	219.38999938964844	582.5999145507812	403.8399963378906	215.47471618652344	141.2154998779297
2025-01	235.16519165039062	237.67999267578125	598.2463989257812	404.6000061035156	250.63406372070312	148.5682373046875
2025-02	241.24948120117188	212.27999877929688	590.6517944335938	292.9800109863281	249.08714294433594	162.42510986328125
2025-03	221.58761596679688	190.25999450683594	557.7411499023438	259.1600036621094	245.35733032226562	163.2322235107422
2025-04	211.9811248779297	184.4199981689453	552.9054565429688	282.1600036621094	238.6082000732422	153.85206604003906
2025-05	200.622314453125	205.00999450683594	587.6527709960938	346.4599914550781	257.3202209472656	154.0790557861328
2025-06	204.93740844726562	219.38999938964844	617.8499755859375	317.6600036621094	292.80035400390625	151.63697814941406
2025-07	207.33470153808594	234.11000061035156	632.0800170898438	308.2699890136719	251.4499053955078	163.53961181640625
2025-08	232.13999938964844	229.0	645.0499877929688	333.8699951171875	243.49000549316406	177.1699981689453
2025-09	240.02999877929688	232.6999969482422	646.7999877929688	349.6300048828125	248.31500244140625	177.7550048828125
